Player,Position,Points,BlockPoints,Aces,SpikePoints,Receive
Kamil Szymendera,Wing spiker,27,2,3,22,0
Kamil Szymura,Libero,0,0,0,0,50,61
Karol Butryn,Opposite hitter,553,34,71,448,0
Karol Jankiewicz,Setter,12,5,4,3,0
Karol K³os,Middle blocker,272,77,8,187,0
Karol Urbanowicz,Middle blocker,237,44,23,170,0
Kento Miyaura,Opposite hitter,86,2,21,63,0
Kevin Tillie,Wing spiker,344,40,29,275,48,05
Klemen Èebulj,Wing spiker,337,24,45,268,39
Konrad Formela,Wing spiker,167,10,16,141,44,51
Konrad Jankowski,Middle blocker,77,28,2,47,0
Konrad Stajer,Middle blocker,46,11,7,28,0
Konstantin Cupkovic,Wing spiker,75,4,7,64,28,92
Korneliusz Banach,Libero,0,0,0,0,0
Krzysztof Rejno,Middle blocker,102,23,9,70,0
Krzysztof Zap³acki,Wing spiker,0,0,0,0,0
Kuba Hawryluk,Libero,0,0,0,0,42,6
Linus Weber,Opposite hitter,410,23,51,336,0
Lukas Kampa,Setter,86,28,28,30,0
Lukas Vasina,Wing spiker,95,12,5,78,46,05
Luke Perry,Libero,0,0,0,0,63,48
£ukasz Kaczmarek,Opposite hitter,563,52,43,468,0
£ukasz Rudzewicz,Middle blocker,1,0,1,0,0
£ukasz Wiœniewski,Middle blocker,68,13,7,48,0
Maciej Muzaj,Opposite hitter,461,41,29,391,0
Maciej Nowowsiak,Libero,0,0,0,0,41,9
Maciej Sas,Libero,0,0,0,0,0
Maciej Stêpieñ,Setter,0,0,0,0,0
Maksymilian Granieczny,Libero,0,0,0,0,0
Marcin Janusz,Setter,73,49,18,6,0
Marcin Kania,Middle blocker,172,41,9,122,0
Marcin Komenda,Setter,54,37,9,8,0
Marcin Waliñski,Wing spiker,116,12,9,95,40,08
Mariusz Magnuszewski,Setter,2,0,1,1,0
Mariusz Wlaz³y,Opposite hitter,92,5,11,76,0
Mateusz Bieniek,Middle blocker,357,61,59,237,0
Mateusz Czunkiewicz,Libero,0,0,0,0,51,99
Mateusz Janikowski,Wing spiker,20,3,2,15,0
Mateusz JóŸwik,Wing spiker,19,2,6,11,0
Mateusz Malinowski,Opposite hitter,120,0,22,98,0
Mateusz Mas³owski,Libero,0,0,0,0,43,4
Mateusz Porêba,Middle blocker,193,37,11,145,0
Mateusz Zawalski,Middle blocker,107,40,12,55,0
Matias Sanchez,Setter,45,6,21,18,0
Matthew West,Setter,2,0,0,2,0
Mauricio Borges,Wing spiker,104,11,7,86,40,92
Micah Ma'a,Setter,0,0,0,0,0
Micha³ Gier¿ot,Wing spiker,358,18,32,308,33,29
Micha³ Grzyb,Wing spiker,0,0,0,0,0
Micha³ Kêdzierski,Setter,2,0,1,1,0
Micha³ Koz³owski,Setter,1,1,0,0,0
Micha³ Ostrowski,Middle blocker,31,8,3,20,0
Micha³ Potera,Libero,0,0,0,0,0
Micha³ Szalacha,Middle blocker,193,50,11,132,0
Micha³ Wieczorek,Wing spiker,0,0,0,0,0
Miguel Tavares Rodrigues,Setter,122,13,64,45,0
Mihajlo Mitiæ,Setter,2,1,0,1,0
Miko³aj Sawicki,Wing spiker,478,31,69,378,36,38
Mi³osz Zniszczo³,Middle blocker,241,67,17,157,0
Miran Kujundžiæ,Wing spiker,357,25,34,298,46,14
Moritz Karlitzek,Wing spiker,258,13,53,192,46,14
Moustapha M'Baye,Middle blocker,243,59,7,177,0
Murat Yenipazar,Setter,93,21,32,40,0
Nicolas Szerszeñ,Wing spiker,403,14,58,331,41,54
Nicolas Zerba,Middle blocker,171,59,7,105,0
Niels Klapwijk,Opposite hitter,184,13,24,147,0
Norbert Huber,Middle blocker,95,23,12,60,0
Oleh Shevchenko,Wing spiker,75,7,7,61,33,04
Oleksii Holoven,Setter,11,2,6,3,0
Ovidiu Darlaczi,Wing spiker,12,1,0,11,0
Patryk £aba,Wing spiker,79,9,5,65,0
Patryk Niemiec,Middle blocker,209,53,17,139,0
Patryk Szczurek,Setter,10,2,6,2,0
Pawe³ Filipowicz,Libero,0,0,0,0,0
Pawe³ Halaba,Wing spiker,306,28,26,252,42,93
Pawe³ Pietraszko,Middle blocker,268,66,27,175,0
Pawe³ Rusin,Wing spiker,213,19,15,179,46,3
Pawe³ Zatorski,Libero,0,0,0,0,46,57
Pierre Pujol,Setter,21,6,4,11,0
Piotr Hain,Middle blocker,64,14,2,48,0
Piotr £ukasik,Wing spiker,197,22,7,168,38,88
Piotr Nowakowski,Middle blocker,232,76,11,145,0
Piotr Orczyk,Wing spiker,23,3,1,19,0
Przemys³aw Smoliñski,Middle blocker,18,3,2,13,0
Przemys³aw Stêpieñ,Setter,3,2,0,1,0
Rados³aw Gil,Setter,17,4,5,8,0
Rados³aw Puczkowski,Wing spiker,47,3,4,40,28,88
Rafa³ Buszek,Wing spiker,53,4,6,43,0
Rafa³ Faryna,Opposite hitter,40,2,7,31,0
Rafa³ Szymura,Wing spiker,139,8,13,118,44,36
Remigiusz Kapica,Opposite hitter,186,2,31,153,0
Robbert Andringa,Wing spiker,266,25,39,202,50,1
Robert Milczarek,Libero,0,0,0,0,0
Roland Gergye,Wing spiker,150,17,11,122,46,34
Santiago Danani,Libero,0,0,0,0,56,29
Sebastian Adamczyk,Middle blocker,127,31,9,87,0
Sebastian Warda,Middle blocker,36,14,0,22,0
Stephen Boyer,Opposite hitter,509,48,77,384,0
Szymon Biniek,Libero,0,0,0,0,0
Szymon Gregorowicz,Libero,0,0,0,0,0
Szymon Jakubiszak,Middle blocker,137,39,4,94,0
Szymon Romaæ,Opposite hitter,289,33,20,236,0
Taylor Averill,Middle blocker,337,76,33,228,0
